City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,sampit,-2.5333,112.95,23.430000000000007,92,33,1.02,ID,1723675160
313,kone,-21.0595,164.8658,25.49000000000001,53,45,4.39,NC,1723675160
314,daru,-9.0763,143.2092,25.650000000000034,83,98,4.95,PG,1723675160
315,alibag,18.6411,72.8792,28.04000000000002,85,100,2.66,IN,1723675160
316,acapulco de juarez,16.8634,-99.8901,29.900000000000034,66,75,5.14,MX,1723674983
317,chharra,27.9333,78.4167,27.700000000000045,87,99,2.76,IN,1723675160
318,princeton,25.5384,-80.4089,33.34000000000003,71,0,3.09,US,1723675161
319,novi pazar,43.1367,20.5122,23.210000000000036,50,70,1.52,RS,1723675161
320,tabalah,19.95,42.4,27.58000000000004,27,95,4.01,SA,1723675161
321,cangucu,-31.395,-52.6756,9.560000000000002,86,0,1.52,BR,1723675161
322,tlaltenango de sanchez roman,21.7833,-103.3167,24.350000000000023,61,96,0.66,MX,1723675161
323,madinat sittah uktubar,29.8167,31.05,27.78000000000003,63,0,4.79,EG,1723675162
324,porto novo,6.4965,2.6036,24.900000000000034,89,8,2.33,BJ,1723675162
325,puerto aysen,-45.4,-72.7,4.270000000000039,99,88,1.5,CL,1723675162
326,kruisfontein,-34.0033,24.7314,11.050000000000011,67,92,7.36,ZA,1723675162
327,colares,38.7992,-9.4469,19.879999999999995,79,59,11.38,PT,1723675162
